item_id,name_exact,name_original,name_ru,description,category,category_label,source_file,title_id,description_id,has_icon_by_same_id,icon_path,icon_by_id_path,same_exact_name_count,attributes_json
1,Paladino,Paladino,Паладин,,generic,Outros Efeitos,item_sets.csd,1,0,False,,,2,{}
2,Sacerdote,Sacerdote,Жрец,,generic,Outros Efeitos,item_sets.csd,2,0,False,,,2,{}
3,Mago,Mago,Маг,,generic,Outros Efeitos,item_sets.csd,3,0,False,,,2,{}
4,Bárbaro,Bárbaro,Варвар,,generic,Outros Efeitos,item_sets.csd,4,0,False,,,1,{}
5,Ladino,Ladino,Разбойник,,generic,Outros Efeitos,item_sets.csd,5,0,False,,,1,{}
6,Xamã,Xamã,Шаман,,generic,Outros Efeitos,item_sets.csd,6,0,False,,,1,{}
7,Dançarino da Lâmina,Dançarino da Lâmina,Разящий Клинок,,generic,Outros Efeitos,item_sets.csd,7,0,False,,,1,{}
8,Patrulheiro,Patrulheiro,Рейнджер,,generic,Outros Efeitos,item_sets.csd,8,0,False,,,1,{}
10,Cavaleiro da Morte,Cavaleiro da Morte,Рыцарь Смерти,,generic,Outros Efeitos,item_sets.csd,10,0,False,,,2,{}
11,Necromante,Necromante,Некромант,,generic,Outros Efeitos,item_sets.csd,11,0,False,,,1,{}
12,Bruxo,Bruxo,Чернокнижник,,generic,Outros Efeitos,item_sets.csd,12,0,False,,,1,{}
18,Explorador,Explorador,Искатель,,generic,Outros Efeitos,item_sets.csd,18,0,False,,,1,{}
22,Caçador,Caçador,Охотник,,generic,Outros Efeitos,item_sets.csd,22,0,False,,,2,{}
60,Guarda,Guarda,Страж,,generic,Outros Efeitos,item_sets.csd,60,0,False,,,2,{}
70,Encantador,Encantador,Заклинатель,,generic,Outros Efeitos,item_sets.csd,70,0,False,,,1,{}
81,Belt,Belt,Платьюшко,,generic,Outros Efeitos,outfit_items.csd,2284,0,False,,,1,{}
84,Fish Common,Fish Common,Рыба,,potion,Poção/Elixir,consumables.csd,2287,0,False,,,1,{}
85,Критический удар,Критический удар,Критический удар,,potion,Poção/Elixir,consumables.csd,2288,0,False,,,1,{}
109,Food Advanced,Food Advanced,Еда,,potion,Poção/Elixir,consumables.csd,2312,0,False,,,1,{}
110,Перезарядка навыков,Перезарядка навыков,Перезарядка навыков,,potion,Poção/Elixir,consumables.csd,2313,0,False,,,1,{}
111,Magic Advanced,Magic Advanced,Магия Адвансед,,potion,Poção/Elixir,consumables.csd,2314,0,False,,,1,{}
117,Corpse,Corpse,Останки,,generic,Outros Efeitos,item_sets.csd,117,0,False,,,1,{}
135,Food Rare,Food Rare,Еда,,potion,Poção/Elixir,consumables.csd,2338,0,False,,,1,{}
136,Health Rare,Health Rare,Точность,,potion,Poção/Elixir,consumables.csd,2339,0,False,,,1,{}
137,Magic Rare,Magic Rare,Скорость атаки,,potion,Poção/Elixir,consumables.csd,2340,0,False,,,1,{}
138,Bottle Rare,Bottle Rare,Оглушение,,potion,Poção/Elixir,consumables.csd,2341,0,False,,,1,{}
142,Machados de Uma Mão,Machados de Uma Mão,Одноручные топоры,,generic,Outros Efeitos,item_sets.csd,142,0,False,,,1,{}
143,Permite que o personagem equipe machados de uma mão.,Permite que o personagem equipe machados de uma mão.,Позволяет использовать одноручные топоры.,,generic,Outros Efeitos,item_sets.csd,143,0,False,,,1,{}
144,Espadas de Uma Mão,Espadas de Uma Mão,Одноручные мечи,,generic,Outros Efeitos,item_sets.csd,144,0,False,,,1,{}
145,Permite que o personagem equipe espadas de uma mão.,Permite que o personagem equipe espadas de uma mão.,Позволяет использовать одноручные мечи.,,generic,Outros Efeitos,item_sets.csd,145,0,False,,,1,{}
146,Armadura Leve,Armadura Leve,Лёгкие доспехи,,generic,Outros Efeitos,item_sets.csd,146,0,False,,,1,{}
147,Permite que o personagem equipe armadura leve.,Permite que o personagem equipe armadura leve.,Позволяет носить легкие доспехи.,,generic,Outros Efeitos,item_sets.csd,147,0,False,,,1,{}
148,Físico Forte,Físico Forte,Крепкое телосложение,,generic,Outros Efeitos,item_sets.csd,148,0,False,,,1,{}
149,Especifica a reserva de saúde de um personagem.,Especifica a reserva de saúde de um personagem.,Определяет запас здоровья персонажа.,,generic,Outros Efeitos,item_sets.csd,149,0,False,,,3,{}
150,Poder das Montanhas,Poder das Montanhas,Сила гор,,generic,Outros Efeitos,item_sets.csd,150,0,False,,,1,{}
151,Aumenta em 4% a vida máxima e em 2% os Poderes Físico e Mágico para todos os personagens da facção selecionada.,Aumenta em 4% a vida máxima e em 2% os Poderes Físico e Mágico para todos os personagens da facção selecionada.,"Увеличивает максимальное здоровье на 4%, физическую и магическую силу на 2% у всех персонажей выбранной фракции.",,generic,Outros Efeitos,item_sets.csd,151,0,False,,,1,{}
152,Talho,Talho,Рубящий удар,,generic,Outros Efeitos,item_sets.csd,152,0,False,,,1,{}
153,"Aplica Sangramento ao inimigo por um curto período, causando dano físico ao longo do tempo.","Aplica Sangramento ao inimigo por um curto período, causando dano físico ao longo do tempo.","Накладывает на противника отрицательный эффект ""Кровотечение"" на некоторое время. Эффект наносит периодический физический урон.",,generic,Outros Efeitos,item_sets.csd,153,0,False,,,1,{}
154,Golpe Forte,Golpe Forte,Сильный удар,,generic,Outros Efeitos,item_sets.csd,154,0,False,,,1,{}
155,"Ataca o inimigo, causando muito dano físico.","Ataca o inimigo, causando muito dano físico.","Атака, наносящая противнику повышенный физический урон.",,generic,Outros Efeitos,item_sets.csd,155,0,False,,,3,{}
156,Investida,Investida,Рывок,,generic,Outros Efeitos,item_sets.csd,156,0,False,,,1,{}
157,"Teletransporta o personagem até o inimigo a 2 metros ou mais de distância, causando dano físico e aplicando Atordoamento. Enquanto está atordoado, o alvo não pode se mover, atacar nem usar habilidades.","Teletransporta o personagem até o inimigo a 2 metros ou mais de distância, causando dano físico e aplicando Atordoamento. Enquanto está atordoado, o alvo não pode se mover, atacar nem usar habilidades.","Персонаж мгновенно перемещается к противнику с расстояния двух и более ярдов, наносит физический урон и накладывает отрицательный эффект ""Оглушение"". Эффект не позволяет перемещаться, атаковать и использовать навыки.",,generic,Outros Efeitos,item_sets.csd,157,0,False,,,1,{}
158,Rugido,Rugido,Рёв,,generic,Outros Efeitos,item_sets.csd,158,0,False,,,1,{}
159,"Aplica Tímpanos Estourados e Atordoamento a todos os inimigos próximos por um curto período. Tímpanos Estourados reduz os Poderes Físico e Mágico, e Atordoamento impede movimentos, ataques e habilidades.","Aplica Tímpanos Estourados e Atordoamento a todos os inimigos próximos por um curto período. Tímpanos Estourados reduz os Poderes Físico e Mágico, e Atordoamento impede movimentos, ataques e habilidades.","Накладывает отрицательные эффекты ""Лопнувшие перепонки"" и ""Оглушение"" на всех противников в некотором радиусе вокруг персонажа на некоторое время. Эффект ""Лопнувшие перепонки"" уменьшает физическую и магическую силу целей. Эффект ""Оглушение"" не позволяет перемещаться, атаковать и использовать навыки.",,generic,Outros Efeitos,item_sets.csd,159,0,False,,,1,{}
160,Adagas,Adagas,Кинжалы,,generic,Outros Efeitos,item_sets.csd,160,0,False,,,1,{}
161,Permite que o personagem equipe adagas.,Permite que o personagem equipe adagas.,Позволяет использовать кинжалы.,,potion,Poção/Elixir,consumables.csd,161,0,False,,,1,{}
162,Concentração,Concentração,Сосредоточенность,,potion,Poção/Elixir,consumables.csd,162,0,False,,,1,{}
163,Aumenta em 2% a vida máxima e em 4% os Poderes Físico e Mágico para todos os personagens da facção selecionada.,Aumenta em 2% a vida máxima e em 4% os Poderes Físico e Mágico para todos os personagens da facção selecionada.,"Увеличивает максимальное здоровье на 2%, физическую и магическую силу на 4% у всех персонажей выбранной фракции.",,potion,Poção/Elixir,consumables.csd,163,0,False,,,1,{}
164,Aturdir,Aturdir,Ошеломление,,potion,Poção/Elixir,consumables.csd,164,0,False,,,1,{}
165,"Aplica Aturdir ao inimigo por um curto período, reduzindo sua Velocidade de Ataque e os Poderes Físico e Mágico.","Aplica Aturdir ao inimigo por um curto período, reduzindo sua Velocidade de Ataque e os Poderes Físico e Mágico.","Накладывает на противника отрицательный эффект ""Ошеломление"" на некоторое время. Эффект уменьшает физическую и магическую силу и параметр ""Скорость атаки"".",,generic,Outros Efeitos,item_sets.csd,165,0,False,,,1,{}
166,Golpe Relâmpago,Golpe Relâmpago,Молниеносный удар,,generic,Outros Efeitos,item_sets.csd,166,0,False,,,1,{}
167,"Ataca o inimigo, causando muito dano físico.","Ataca o inimigo, causando muito dano físico.","Атака, наносящая повышенный физический урон противнику.",,generic,Outros Efeitos,item_sets.csd,167,0,False,,,3,{}
168,Cortar Tendão,Cortar Tendão,Подрезать сухожилие,,generic,Outros Efeitos,item_sets.csd,168,0,False,,,1,{}
169,Aplica Ferida Profunda e Sangramento ao inimigo por um curto período. O alvo não pode se mover nem usar habilidades enquanto está sob o efeito de Ferida Profunda e recebe dano físico ao longo do tempo enquanto está sob o efeito de Sangramento.,Aplica Ferida Profunda e Sangramento ao inimigo por um curto período. O alvo não pode se mover nem usar habilidades enquanto está sob o efeito de Ferida Profunda e recebe dano físico ao longo do tempo enquanto está sob o efeito de Sangramento.,"Накладывает на противника отрицательный эффект ""Глубокая рана"" и ""Кровотечение"" на некоторое время. Эффект ""Глубокая рана"" не позволяет передвигаться и применять навыки. Эффект ""Кровотечение"" наносит периодический физический урон.",,generic,Outros Efeitos,item_sets.csd,169,0,False,,,1,{}
170,Aparo,Aparo,Парирование,,generic,Outros Efeitos,item_sets.csd,170,0,False,,,1,{}
171,Aumenta a chance de Aparar do personagem por um curto período.,Aumenta a chance de Aparar do personagem por um curto período.,"Накладывает на персонажа положительный эффект ""Парирование"" на некоторое время. Эффект увеличивает параметр ""Парирование"".",,generic,Outros Efeitos,item_sets.csd,171,0,False,,,1,{}
172,Boa Compleição,Boa Compleição,Хорошее телосложение,,generic,Outros Efeitos,item_sets.csd,172,0,False,,,1,{}
173,Especifica a reserva de saúde de um personagem.,Especifica a reserva de saúde de um personagem.,Определяет запас здоровья персонажа.,,generic,Outros Efeitos,item_sets.csd,173,0,False,,,3,{}
174,Marca do Assassino,Marca do Assassino,Метка ассасина,,generic,Outros Efeitos,item_sets.csd,174,0,False,,,1,{}
175,"Aplica Marca do Assassino ao inimigo por um curto período, aumentando o dano do personagem contra o alvo marcado.","Aplica Marca do Assassino ao inimigo por um curto período, aumentando o dano do personagem contra o alvo marcado.","Накладывает отрицательный эффект ""Метка ассасина"" на противника на некоторое время. Эффект увеличивает наносимый персонажем урон по цели.",,generic,Outros Efeitos,item_sets.csd,175,0,False,,,1,{}
176,Ataque Impiedoso,Ataque Impiedoso,Безжалостная атака,,generic,Outros Efeitos,item_sets.csd,176,0,False,,,1,{}
177,"Ataca o inimigo, causando muito dano físico.","Ataca o inimigo, causando muito dano físico.","Атака, наносящая противнику повышенный физический урон.",,generic,Outros Efeitos,item_sets.csd,177,0,False,,,3,{}
178,Esfaquear,Esfaquear,Парализующий удар,,generic,Outros Efeitos,item_sets.csd,178,0,False,,,1,{}
